ra,dec,name,type,peak
208.050842,32.582881,J135212.20_323458.4,Gauss,1081.78
207.942427,43.842098,J135146.17_435031.50,Gauss,617.71
197.605402,7.752648,J131025.30_074509.3,Gauss,192.41
213.205025,44.02386,141249.21_440125.9,Gauss,854.98
153.149213,31.07708,J101235.81_310437.3,Gauss,1267.4
261.72808,54.49519,J172654.74_542942.6,Gauss,1301.55
200.930449,51.918545,J132343.30_515506.7,Gauss,224.24
326.018318,5.695246,J214404.40_054142.8,Gauss,799.45
182.975715,18.723002,J121154.17_184322.7,Gauss,616.1
321.648385,5.115309,J212635.61_050655.1,Gauss,1618.36
189.256561,28.201819,J123701.57_281206.4,Gauss,597.84
165.263761,23.564719,J110103.30_233352.9,Gauss,800.94
342.991974,10.20718,J225158.07_101225.8,Gauss,601.58
121.059183,4.76774,080414.21_044603.9,Gauss,567.84
146.412319,23.059945,J094538.96_230335.7,Gauss,120.17
124.395822,44.895185,J081734.99_445342.5,Gauss,246.66
7.483084,8.402791,J002955.94_082409.9,Gauss,796.86
142.396311,36.857256,J092935.11_365126.08,Gauss,313.47
217.182301,29.318075,J142843.74_291904.9,Gauss,1461.95
125.918579,28.882452,082340.45_285256.7,Gauss,523.19
227.248231,35.483482,J150859.57_352900.4,Gauss,1803.26
203.817418,18.561524,133516.18_183341.4,Gauss,105.28
16.871008,3.748,J010729.05_034452.7,Gauss,85.07
27.162633,-4.769337,J014839.04-044609.72,Gauss,994.35
163.696783,44.267034,J105447.23_441601.24,Gauss,619.18
133.445236,48.880888,J085346.86_485251.2,Gauss,1519.45
238.924941,26.447407,J155541.98_262650.6,Gauss,772.64
340.467248,-3.200364,J224152.14-031201.4,Gauss,850.32
170.843988,8.802045,J112322.56_084807.32,Gauss,730.12
240.424656,19.600225,J160141.91_193600.8,Gauss,771.45
233.057525,55.072126,J153213.80_550419.66,Gauss,1210.57
230.52017,53.787503,J152204.84_534714.95,Gauss,448.93
187.191749,18.821951,J122846.02_184919.00,Gauss,426.93
214.667025,35.683922,J141840.08_354102.10,Gauss,675.12
183.815032,33.170368,J121515.60_331013.1,Gauss,72.18
123.623255,49.688448,J081429.57_494118.3,Gauss,965.9
145.878235,16.541845,J094330.78_163230.60,Gauss,984.46
